TRAIN_TT,TRAIN_CO,SM_TT,SM_CO,CAR_TT,CAR_CO,CHOICE
286,60,138,65,144,136,1
246,50,138,80,180,105,1
214,60,85,65,273,115,2
196,60,77,60,273,149,2
250,60,95,80,273,92,2
196,50,85,80,168,92,1
250,45,85,60,210,149,2
214,45,77,80,210,92,2
196,60,95,80,168,115,2
196,45,95,65,210,115,2
250,50,77,65,168,115,2
222,50,85,60,160,76,2
222,50,77,80,208,123,2
222,45,71,80,208,95,2
166,45,71,80,128,123,2
185,50,71,65,208,76,2
185,45,77,60,128,95,2
185,60,71,60,128,76,2
222,60,77,65,128,123,1
185,50,77,80,160,95,2
232,50,98,60,170,92,1
232,50,90,80,221,149,1
232,45,84,80,221,115,1
181,45,84,80,136,149,1
198,50,84,65,221,92,1
198,45,90,60,136,115,1
198,60,84,60,136,92,2
232,60,90,65,136,149,2
198,50,90,80,170,115,1
203,50,67,60,0,0,2
203,50,59,80,0,0,2
203,45,53,80,0,0,2
157,45,53,80,0,0,2
172,50,53,65,0,0,2
172,45,59,60,0,0,2
172,60,53,60,0,0,2
203,60,59,65,0,0,2
172,50,59,80,0,0,2
242,3120,75,3380,0,0,2
219,3120,66,3120,0,0,2
287,3120,87,4160,0,0,2
219,2600,75,4160,0,0,1
287,2340,75,3120,0,0,2
242,2340,66,4160,0,0,1
219,3120,87,4160,0,0,1
219,2340,87,3380,0,0,1
287,2600,66,3380,0,0,2
163,3120,85,3120,0,0,2
163,2340,92,3380,0,0,1
133,2340,88,3120,0,0,1
143,2340,92,3380,0,0,1
143,2600,92,3120,0,0,2
133,3120,88,3380,0,0,2
133,2600,92,3120,0,0,2
143,3120,92,4160,0,0,1
133,2600,85,3380,0,0,1
131,3120,88,3380,0,0,2
120,3120,85,3120,0,0,2
153,3120,92,4160,0,0,1
120,2600,88,4160,0,0,1
153,2340,88,3120,0,0,1
131,2340,85,4160,0,0,1
120,3120,92,4160,0,0,1
120,2340,92,3380,0,0,1
153,2600,85,3380,0,0,1
103,3120,31,3120,80,40,3
82,2340,34,3120,104,32,3
103,2340,38,3380,64,32,3
89,2340,38,3380,104,52,3
89,2600,38,3120,64,52,3
82,2600,38,3120,104,40,3
82,3120,34,3380,80,32,3
82,2600,31,3380,80,52,3
89,3120,38,4160,80,52,3
138,3120,59,3120,0,0,2
138,2340,66,3380,0,0,1
106,2340,62,3120,0,0,1
117,2340,66,3380,0,0,1
117,2600,66,3120,0,0,2
106,3120,62,3380,0,0,2
106,2600,66,3120,0,0,2
106,2600,59,3380,0,0,1
117,3120,66,4160,0,0,1
86,2600,57,3120,0,0,2
86,2340,53,4160,0,0,1
86,2600,55,4160,0,0,1
76,2340,53,4160,0,0,1
79,2600,53,3380,0,0,2
79,2340,55,3120,0,0,2
79,3120,53,3120,0,0,2
79,2600,55,4160,0,0,1
86,3120,55,3380,0,0,2
119,2600,93,3120,0,0,1
119,2600,91,4160,0,0,1
119,2340,89,4160,0,0,1
94,2340,89,4160,0,0,1
102,2600,89,3380,0,0,1
102,2340,91,3120,0,0,2
102,3120,89,3120,0,0,2
119,3120,91,3380,0,0,1
102,2600,91,4160,0,0,1
153,2600,62,3120,0,0,2
153,2600,56,4160,0,0,1
153,2340,51,4160,0,0,1
121,2340,51,4160,0,0,1
132,2600,51,3380,0,0,1
132,2340,56,3120,0,0,1
132,3120,51,3120,0,0,2
153,3120,56,3380,0,0,1
132,2600,56,4160,0,0,1
205,2600,101,3120,0,0,1
205,2600,93,4160,0,0,1
205,2340,87,4160,0,0,1
161,2340,87,4160,0,0,1
176,2600,87,3380,0,0,1
176,2340,93,3120,0,0,1
176,3120,87,3120,0,0,2
205,3120,93,3380,0,0,2
176,2600,93,4160,0,0,1
87,3120,63,3380,91,40,2
102,3120,65,4160,91,32,1
79,3120,61,3120,91,52,2
79,2600,63,4160,56,32,1
102,2340,63,3120,70,52,2
87,2340,61,4160,70,32,2
79,3120,65,4160,56,40,1
102,2600,61,3380,56,40,1
79,2340,65,3380,70,40,1
232,3120,177,3380,0,0,2
210,3120,174,3120,0,0,2
276,3120,181,4160,0,0,2
210,2600,177,4160,0,0,1
276,2340,177,3120,0,0,2
232,2340,174,4160,0,0,2
210,3120,181,4160,0,0,1
210,2340,181,3380,0,0,2
276,2600,174,3380,0,0,1
147,3120,70,3120,110,80,2
114,2340,73,3120,143,64,2
147,2340,77,3380,88,64,2
125,2340,77,3380,143,104,2
125,2600,77,3120,88,104,2
114,2600,77,3120,143,80,2
114,3120,73,3380,110,64,2
114,2600,70,3380,110,104,2
125,3120,77,4160,110,104,1
81,3120,26,3380,0,0,2
73,3120,23,3120,0,0,2
96,3120,30,4160,0,0,2
73,2600,26,4160,0,0,1
96,2340,26,3120,0,0,2
81,2340,23,4160,0,0,2
73,3120,30,4160,0,0,2
73,2340,30,3380,0,0,2
96,2600,23,3380,0,0,2
146,3120,44,3120,0,0,2
114,2340,49,3120,0,0,1
146,2340,55,3380,0,0,1
125,2340,55,3380,0,0,1
125,2600,55,3120,0,0,1
114,2600,55,3120,0,0,1
114,3120,49,3380,0,0,2
114,2600,44,3380,0,0,1
125,3120,55,4160,0,0,1
236,3120,63,3120,0,0,1
182,2340,71,3120,0,0,1
236,2340,81,3380,0,0,1
200,2340,81,3380,0,0,1
200,2600,81,3120,0,0,1
182,2600,81,3120,0,0,1
182,3120,71,3380,0,0,1
182,2600,63,3380,0,0,1
200,3120,81,4160,0,0,1
110,3120,57,3380,0,0,2
124,3120,61,4160,0,0,2
103,3120,54,3120,0,0,2
103,2600,57,4160,0,0,1
124,2340,57,3120,0,0,2
103,3120,61,4160,0,0,2
110,2340,54,4160,0,0,1
124,2600,54,3380,0,0,2
103,2340,61,3380,0,0,2
121,3120,66,3380,130,60,2
141,3120,70,4160,130,48,2
111,3120,63,3120,130,78,2
111,2600,66,4160,80,48,2
141,2340,66,3120,100,78,2
111,3120,70,4160,80,60,2
121,2340,63,4160,100,48,2
141,2600,63,3380,80,60,2
111,2340,70,3380,100,60,2
116,2600,53,3120,0,0,2
116,2600,49,4160,0,0,1
116,2340,46,4160,0,0,1
95,2340,46,4160,0,0,1
102,2600,46,3380,0,0,2
102,2340,49,3120,0,0,2
102,3120,46,3120,0,0,2
116,3120,49,3380,0,0,2
102,2600,49,4160,0,0,1
141,2600,69,3120,0,0,1
141,2600,65,4160,0,0,1
141,2340,62,4160,0,0,1
109,2340,62,4160,0,0,1
120,2600,62,3380,0,0,1
120,2340,65,3120,0,0,1
120,3120,62,3120,0,0,2
141,3120,65,3380,0,0,2
120,2600,65,4160,0,0,1
87,3120,34,3380,0,0,1
101,3120,38,4160,0,0,1
80,3120,31,3120,0,0,1
80,2600,34,4160,0,0,1
101,2340,34,3120,0,0,1
80,3120,38,4160,0,0,1
87,2340,31,4160,0,0,1
101,2600,31,3380,0,0,1
80,2340,38,3380,0,0,1
244,3120,115,3380,0,0,1
221,3120,107,3120,0,0,1
221,2600,115,4160,0,0,1
290,3120,125,4160,0,0,1
290,2340,115,3120,0,0,1
244,2340,107,4160,0,0,1
221,3120,125,4160,0,0,1
221,2340,125,3380,0,0,1
290,2600,107,3380,0,0,1
102,3120,47,3380,0,0,2
95,3120,44,3120,0,0,2
116,3120,51,4160,0,0,1
95,2600,47,4160,0,0,1
116,2340,47,3120,0,0,1
102,2340,44,4160,0,0,1
95,3120,51,4160,0,0,1
95,2340,51,3380,0,0,1
116,2600,44,3380,0,0,1
392,3120,284,3380,273,130,2
353,3120,278,3120,273,169,3
470,3120,292,4160,273,104,3
353,2600,284,4160,168,104,3
470,2340,284,3120,210,169,3
392,2340,278,4160,210,104,3
353,3120,292,4160,168,130,3
353,2340,292,3380,210,130,3
470,2600,278,3380,168,130,3
112,3120,40,3120,70,30,1
91,2340,43,3120,91,24,1
112,2340,47,3380,56,24,1
98,2340,47,3380,91,39,1
98,2600,47,3120,56,39,1
91,2600,47,3120,91,30,1
91,3120,43,3380,70,24,1
91,2600,40,3380,70,39,1
98,3120,47,4160,70,39,1
121,3120,66,3380,0,0,2
111,3120,63,3120,0,0,1
140,3120,70,4160,0,0,1
111,2600,66,4160,0,0,1
140,2340,66,3120,0,0,1
121,2340,63,4160,0,0,2
111,3120,70,4160,0,0,2
111,2340,70,3380,0,0,1
140,2600,63,3380,0,0,1
108,3120,36,3120,80,50,2
87,2340,39,3120,104,40,3
94,2340,43,3380,104,65,1
108,2340,43,3380,64,40,3
94,2600,43,3120,64,65,3
87,2600,43,3120,104,50,3
87,3120,39,3380,80,40,3
87,2600,36,3380,80,65,3
94,3120,43,4160,80,65,3
257,2600,117,3120,180,40,2
257,2600,109,4160,234,65,3
257,2340,103,4160,234,50,3
197,2340,103,4160,144,65,3
217,2600,103,3380,234,40,2
217,2340,109,3120,144,50,1
217,3120,103,3120,144,40,3
257,3120,109,3380,144,65,3
217,2600,109,4160,180,50,1
286,3120,157,3380,351,95,1
258,3120,149,3120,351,123,1
341,3120,167,4160,351,76,1
258,2600,157,4160,216,76,1
341,2340,157,3120,270,123,1
286,2340,149,4160,270,76,1
258,3120,167,4160,216,95,1
258,2340,167,3380,270,95,1
341,2600,149,3380,216,95,1
82,3120,27,3380,91,55,2
75,3120,24,3120,91,71,1
96,3120,31,4160,91,44,1
75,2600,27,4160,56,44,1
96,2340,27,3120,70,71,1
82,2340,24,4160,70,44,2
75,3120,31,4160,56,55,2
75,2340,31,3380,70,55,1
96,2600,24,3380,56,55,1
155,3120,100,3380,0,0,2
141,3120,97,3120,0,0,2
183,3120,104,4160,0,0,2
141,2600,100,4160,0,0,1
183,2340,100,3120,0,0,2
155,2340,97,4160,0,0,2
141,3120,104,4160,0,0,2
141,2340,104,3380,0,0,1
183,2600,97,3380,0,0,2
132,2220,77,2405,0,0,1
125,2220,74,2220,0,0,2
146,2220,81,2960,0,0,1
125,1850,77,2960,0,0,1
146,1665,77,2220,0,0,1
132,1665,74,2960,0,0,1
125,2220,81,2960,0,0,1
125,1665,81,2405,0,0,1
146,1850,74,2405,0,0,1
144,2220,89,2405,117,50,2
132,2220,86,2220,117,65,2
167,2220,93,2960,117,40,1
132,1850,89,2960,72,40,1
167,1665,89,2220,90,65,1
144,1665,86,2960,90,40,1
132,2220,93,2960,72,50,1
132,1665,93,2405,90,50,1
167,1850,86,2405,72,50,1
111,2220,41,2220,0,0,2
90,1665,44,2220,0,0,2
111,1665,48,2405,0,0,2
97,1665,48,2405,0,0,1
97,1850,48,2220,0,0,2
90,1850,48,2220,0,0,1
90,2220,44,2405,0,0,2
90,1850,41,2405,0,0,2
97,2220,48,2960,0,0,1
75,2220,56,2405,65,25,2
70,2220,54,2220,65,32,2
85,2220,59,2960,65,20,1
70,1850,56,2960,40,20,1
85,1665,56,2220,50,32,1
75,1665,54,2960,50,20,3
70,2220,59,2960,40,25,3
70,1665,59,2405,50,25,1
85,1850,54,2405,40,25,1
202,1850,126,2220,0,0,1
202,1850,122,2960,0,0,1
202,1665,119,2960,0,0,1
159,1665,119,2960,0,0,1
173,1850,119,2405,0,0,1
173,1665,122,2220,0,0,1
173,2220,119,2220,0,0,2
202,2220,122,2405,0,0,1
173,1850,122,2960,0,0,1
163,2220,82,2220,0,0,2
129,1665,85,2220,0,0,2
163,1665,89,2405,0,0,2
140,1665,89,2405,0,0,2
140,1850,89,2220,0,0,2
129,1850,89,2220,0,0,2
129,2220,85,2405,0,0,2
129,1850,82,2405,0,0,2
140,2220,89,2960,0,0,2
130,1850,62,2220,0,0,1
130,1850,58,2960,0,0,1
130,1665,55,2960,0,0,1
101,1665,55,2960,0,0,1
111,1850,55,2405,0,0,1
111,1665,58,2220,0,0,1
111,2220,55,2220,0,0,2
130,2220,58,2405,0,0,2
111,1850,58,2960,0,0,1
139,2220,86,2405,0,0,2
126,2220,83,2220,0,0,2
165,2220,90,2960,0,0,1
126,1850,86,2960,0,0,1
165,1665,86,2220,0,0,1
139,1665,83,2960,0,0,1
126,2220,90,2960,0,0,1
126,1665,90,2405,0,0,1
165,1850,83,2405,0,0,1
96,2220,43,2405,0,0,2
88,2220,40,2220,0,0,2
112,2220,47,2960,0,0,2
88,1850,43,2960,0,0,1
112,1665,43,2220,0,0,2
96,1665,40,2960,0,0,1
88,2220,47,2960,0,0,2
88,1665,47,2405,0,0,1
112,1850,40,2405,0,0,2
102,2220,49,2405,0,0,2
95,2220,46,2220,0,0,2
116,2220,53,2960,0,0,1
95,1850,49,2960,0,0,1
116,1665,49,2220,0,0,2
102,1665,46,2960,0,0,1
95,2220,53,2960,0,0,1
95,1665,53,2405,0,0,1
116,1850,46,2405,0,0,2
171,1850,93,2220,100,32,2
171,1850,89,2960,130,52,1
171,1665,86,2960,130,40,1
131,1665,86,2960,80,52,1
144,1850,86,2405,130,32,1
144,1665,89,2220,80,40,2
144,2220,86,2220,80,32,2
171,2220,89,2405,80,52,2
144,1850,89,2960,100,40,1
126,1850,87,2220,0,0,2
126,1850,85,2960,0,0,2
126,1665,83,2960,0,0,1
100,1665,83,2960,0,0,2
109,1850,83,2405,0,0,1
109,1665,85,2220,0,0,1
109,2220,83,2220,0,0,2
126,2220,85,2405,0,0,2
109,1850,85,2960,0,0,1
61,209,32,251,0,0,1
61,188,28,334,0,0,1
61,209,30,334,0,0,1
51,188,28,334,0,0,1
54,209,28,272,0,0,1
54,188,30,251,0,0,2
54,251,28,251,0,0,2
54,209,30,334,0,0,1
61,251,30,272,0,0,2
71,116,42,139,0,0,2
71,104,38,186,0,0,1
71,116,40,186,0,0,1
61,104,38,186,0,0,1
64,116,38,151,0,0,2
64,104,40,139,0,0,2
64,139,38,139,0,0,2
64,116,40,186,0,0,2
71,139,40,151,0,0,2
121,259,49,259,0,0,2
100,194,52,259,0,0,2
121,194,56,281,0,0,2
107,194,56,281,0,0,2
107,216,56,259,0,0,2
100,216,56,259,0,0,2
100,259,52,281,0,0,1
100,216,49,281,0,0,2
107,259,56,346,0,0,2
80,65,56,70,0,0,2
73,65,54,65,0,0,2
94,65,58,86,0,0,1
73,54,56,86,0,0,1
94,49,56,65,0,0,2
80,49,54,86,0,0,1
73,65,58,86,0,0,1
73,49,58,70,0,0,1
94,54,54,70,0,0,2
63,53,29,53,45,30,3
63,40,33,57,36,24,1
51,40,31,53,58,24,1
55,40,33,57,58,39,1
55,44,33,53,36,39,3
51,44,33,53,58,30,1
51,53,31,57,45,24,3
55,53,33,70,45,39,1
51,44,29,57,45,39,1
237,106,82,112,140,85,2
237,79,96,97,112,68,2
183,79,88,90,182,68,2
201,79,96,97,182,110,2
201,88,96,97,112,110,2
183,106,88,118,140,68,2
183,88,96,97,182,85,2
201,106,96,137,140,110,2
183,88,82,105,140,110,2
125,64,50,68,70,40,2
100,48,53,54,91,32,2
125,48,57,56,56,32,2
108,48,57,56,91,52,2
108,53,57,58,56,52,2
100,53,57,58,91,40,2
100,64,53,71,70,32,2
100,53,50,60,70,52,2
108,64,57,81,70,52,1
175,55,95,65,60,35,2
139,41,98,48,78,28,2
175,41,102,53,48,28,3
151,41,102,53,78,45,2
151,46,102,54,48,45,3
139,46,102,54,78,35,3
139,55,98,68,60,28,3
139,46,95,56,60,45,2
151,55,102,76,60,45,3
164,82,81,84,100,100,2
126,61,84,71,130,80,2
164,61,88,74,80,80,2
139,61,88,74,130,130,2
139,68,88,76,80,130,2
126,68,88,76,130,100,2
126,82,84,90,100,80,1
126,68,81,81,100,130,2
139,82,88,105,100,130,1
116,65,86,71,0,0,2
91,49,88,54,0,0,1
116,49,90,56,0,0,2
99,49,90,56,0,0,2
99,54,90,60,0,0,2
91,54,90,60,0,0,2
91,65,88,71,0,0,2
91,54,86,60,0,0,2
99,65,90,78,0,0,2
123,72,51,81,0,0,2
102,54,54,68,0,0,2
123,54,58,71,0,0,2
109,54,58,71,0,0,2
109,60,58,71,0,0,2
102,60,58,71,0,0,2
102,72,54,84,0,0,2
102,60,51,76,0,0,2
109,72,58,97,0,0,1
192,89,107,92,150,80,2
192,67,114,78,120,64,2
151,67,110,76,195,64,2
165,67,114,78,195,104,2
165,74,114,81,120,104,2
151,89,110,94,150,64,2
151,74,114,81,195,80,2
165,89,114,109,150,104,2
151,74,107,84,150,104,2
283,99,138,112,0,0,2
283,99,130,133,0,0,2
283,89,124,122,0,0,2
215,89,124,122,0,0,2
238,99,124,118,0,0,2
238,89,130,105,0,0,2
238,119,124,127,0,0,2
283,119,130,137,0,0,2
238,99,130,133,0,0,2
193,106,50,112,180,95,2
150,79,56,90,234,76,2
193,79,64,97,144,76,2
164,79,64,97,234,123,2
164,88,64,97,144,123,2
150,88,64,97,234,95,2
150,106,56,118,180,76,2
150,88,50,105,180,123,2
164,106,64,140,180,123,2
97,97,44,99,234,100,1
90,81,44,92,144,80,1
90,97,41,97,234,130,1
111,97,48,109,234,80,1
111,73,44,81,180,130,1
97,73,41,88,180,80,1
90,97,48,109,144,100,1
90,73,48,81,180,100,1
111,81,41,88,144,100,1
153,82,77,90,143,65,2
142,82,72,84,143,84,1
174,82,83,105,143,52,1
142,68,77,90,88,52,2
174,61,77,71,110,84,2
153,61,72,84,110,52,2
142,82,83,105,88,65,1
142,61,83,74,110,65,2
174,68,72,78,88,65,2
207,131,99,146,221,95,2
187,131,93,140,221,123,2
246,131,107,165,221,76,2
187,109,99,146,136,76,2
246,98,99,112,170,123,2
207,98,93,133,170,76,2
187,131,107,165,136,95,2
187,98,107,118,170,95,2
246,109,93,127,136,95,2
300,118,135,133,180,132,2
300,118,125,161,234,214,2
300,106,117,146,234,165,2
231,106,117,146,144,214,2
254,118,117,137,234,132,2
254,106,125,118,144,165,2
254,142,117,150,144,132,2
300,142,125,161,144,214,2
254,118,125,161,180,165,2
190,97,80,99,150,90,2
190,73,91,84,120,72,2
146,73,85,84,195,72,2
161,73,91,84,195,117,2
161,81,91,88,120,117,2
146,81,91,88,195,90,2
146,97,85,105,150,72,3
161,97,91,118,150,117,2
146,81,80,92,150,117,2
135,65,65,74,90,44,1
135,58,58,81,117,55,1
135,65,61,88,117,71,1
106,58,58,81,72,71,1
116,65,58,76,117,44,1
116,78,58,84,72,44,1
116,58,61,68,72,55,1
116,65,61,88,90,55,1
135,78,61,84,72,71,1
313,127,143,140,0,0,2
313,127,133,168,0,0,2
313,114,125,155,0,0,2
236,114,125,155,0,0,2
262,127,125,146,0,0,2
262,114,133,127,0,0,2
262,152,125,161,0,0,2
313,152,133,168,0,0,2
262,127,133,168,0,0,2
87,26,34,34,0,0,2
80,26,31,32,0,0,2
101,26,38,41,0,0,1
80,22,34,35,0,0,1
101,20,34,25,0,0,2
87,20,31,32,0,0,2
80,26,38,41,0,0,1
80,20,38,26,0,0,2
101,22,31,29,0,0,2
111,74,48,89,0,0,2
111,67,41,106,0,0,1
111,74,44,116,0,0,1
90,67,41,106,0,0,1
97,74,41,97,0,0,1
97,67,44,82,0,0,1
97,89,41,106,0,0,1
111,89,44,111,0,0,1
97,74,44,116,0,0,1
208,176,79,194,120,76,1
208,176,71,245,156,123,1
208,158,65,225,156,95,1
165,158,65,225,96,123,3
179,176,65,210,156,76,1
179,158,71,181,96,95,3
179,211,65,225,96,76,3
208,211,71,237,96,123,3
179,176,71,245,120,95,1
175,163,95,169,0,0,2
142,122,98,142,0,0,2
175,122,102,147,0,0,2
153,122,102,147,0,0,2
153,136,102,153,0,0,2
142,136,102,153,0,0,2
142,163,98,176,0,0,2
142,136,95,155,0,0,2
153,163,102,210,0,0,2
189,211,76,237,182,85,2
174,211,70,225,182,110,2
220,211,84,281,182,68,1
174,176,76,245,112,68,1
220,158,76,184,140,110,2
189,158,70,225,140,68,1
174,211,84,281,112,85,3
174,158,84,194,140,85,3
220,176,70,210,112,85,3
94,102,39,130,91,45,2
87,102,36,116,91,58,2
108,102,43,147,91,36,3
87,85,39,130,56,36,3
108,76,39,89,70,58,3
94,76,36,116,70,36,3
87,102,43,147,56,45,3
87,76,43,97,70,45,3
108,85,36,108,56,45,3
136,163,34,169,0,0,2
104,122,39,142,0,0,2
136,122,45,147,0,0,2
115,122,45,147,0,0,2
115,136,45,153,0,0,2
104,136,45,153,0,0,2
104,163,39,181,0,0,2
104,136,34,155,0,0,2
115,163,45,210,0,0,1
159,184,91,189,110,200,2
123,138,94,155,143,160,2
159,138,98,162,88,160,2
135,138,98,162,143,260,2
135,153,98,167,88,260,2
123,153,98,167,143,200,2
123,184,94,194,110,160,2
123,153,91,169,110,260,2
135,184,98,218,110,260,2
85,119,61,136,91,40,3
100,119,63,147,91,32,3
77,119,59,130,91,52,1
77,99,61,130,56,32,3
100,89,61,99,70,52,3
77,119,63,147,56,40,3
85,89,59,119,70,32,3
100,99,59,116,56,40,3
77,89,63,106,70,40,3
204,100,54,100,140,80,2
204,75,68,108,112,64,2
158,75,60,100,182,64,2
173,75,68,108,182,104,2
173,83,68,100,112,104,2
158,100,60,108,140,64,2
158,83,68,100,182,80,2
173,100,68,133,140,104,2
158,83,54,108,140,104,2
268,83,130,100,0,0,1
268,83,122,133,0,0,1
268,75,116,133,0,0,1
211,75,116,133,0,0,1
230,83,116,108,0,0,1
230,75,122,100,0,0,1
230,100,116,100,0,0,2
268,100,122,108,0,0,1
230,83,122,133,0,0,1
161,100,53,108,260,145,2
146,100,47,100,260,188,2
192,100,61,133,260,116,1
146,83,53,133,160,116,1
192,75,53,100,200,188,2
161,75,47,133,200,116,1
146,100,61,133,160,145,1
146,75,61,108,200,145,1
192,83,47,108,160,145,2
186,5040,131,5460,0,0,1
169,5040,128,5040,0,0,1
220,5040,135,6720,0,0,1
169,4200,131,6720,0,0,1
220,3780,131,5040,0,0,1
186,3780,128,6720,0,0,1
169,5040,135,6720,0,0,1
169,3780,135,5460,0,0,1
220,4200,128,5460,0,0,1
128,5040,56,5040,0,0,2
107,3780,59,5040,0,0,2
128,3780,63,5460,0,0,2
114,3780,63,5460,0,0,2
114,4200,63,5040,0,0,2
107,4200,63,5040,0,0,2
107,5040,59,5460,0,0,2
107,4200,56,5460,0,0,2
114,5040,63,6720,0,0,2
130,4200,67,5040,80,56,2
130,4200,63,6720,104,91,2
130,3780,60,6720,104,70,2
103,3780,60,6720,64,91,2
112,4200,60,5460,104,56,2
112,3780,63,5040,64,70,2
112,5040,60,5040,64,56,2
130,5040,63,5460,64,91,2
112,4200,63,6720,80,70,2
137,5040,63,5040,0,0,1
110,3780,66,5040,0,0,1
137,3780,70,5460,0,0,1
119,3780,70,5460,0,0,1
119,4200,70,5040,0,0,1
110,4200,70,5040,0,0,1
110,5040,66,5460,0,0,1
110,4200,63,5460,0,0,1
119,5040,70,6720,0,0,1
172,5040,117,5460,0,0,1
165,5040,114,5040,0,0,1
186,5040,121,6720,0,0,1
165,4200,117,6720,0,0,1
186,3780,117,5040,0,0,1
172,3780,114,6720,0,0,1
165,5040,121,6720,0,0,1
165,3780,121,5460,0,0,1
186,4200,114,5460,0,0,1
106,5040,33,5040,80,55,1
83,3780,36,5040,104,44,1
106,3780,40,5460,64,44,1
91,3780,40,5460,104,71,1
91,4200,40,5040,64,71,1
83,4200,40,5040,104,55,1
83,5040,36,5460,80,44,1
83,4200,33,5460,80,71,1
91,5040,40,6720,80,71,1
171,5040,89,5040,0,0,2
135,3780,92,5040,0,0,1
171,3780,96,5460,0,0,1
147,3780,96,5460,0,0,2
147,4200,96,5040,0,0,2
135,4200,96,5040,0,0,2
135,5040,92,5460,0,0,2
135,4200,89,5460,0,0,2
147,5040,96,6720,0,0,2
159,4200,86,5040,90,48,2
159,4200,82,6720,117,78,1
159,3780,79,6720,117,60,1
126,3780,79,6720,72,78,1
137,4200,79,5460,117,48,2
137,3780,82,5040,72,60,1
137,5040,79,5040,72,48,2
159,5040,82,5460,72,78,2
137,4200,82,6720,90,60,1
185,5040,72,5460,182,90,2
221,5040,80,6720,182,72,1
167,5040,66,5040,182,117,2
167,4200,72,6720,112,72,1
221,3780,72,5040,140,117,1
167,5040,80,6720,112,90,1
185,3780,66,6720,140,72,1
221,4200,66,5460,112,90,1
167,3780,80,5460,140,90,1
157,5040,107,5460,0,0,2
142,5040,104,5040,0,0,2
186,5040,111,6720,0,0,1
142,4200,107,6720,0,0,1
186,3780,107,5040,0,0,2
157,3780,104,6720,0,0,1
142,5040,111,6720,0,0,1
142,3780,111,5460,0,0,1
186,4200,104,5460,0,0,2
203,5040,53,5040,0,0,2
157,3780,59,5040,0,0,2
203,3780,67,5460,0,0,2
172,3780,67,5460,0,0,2
172,4200,67,5040,0,0,2
157,4200,67,5040,0,0,2
157,5040,59,5460,0,0,2
157,4200,53,5460,0,0,2
172,5040,67,6720,0,0,2
209,4200,131,5040,0,0,2
209,4200,127,6720,0,0,2
209,3780,124,6720,0,0,1
161,3780,124,6720,0,0,1
177,4200,124,5460,0,0,1
177,3780,127,5040,0,0,1
177,5040,124,5040,0,0,2
209,5040,127,5460,0,0,2
177,4200,127,6720,0,0,1
189,5040,76,5460,0,0,1
174,5040,70,5040,0,0,2
220,5040,84,6720,0,0,2
174,4200,76,6720,0,0,2
220,3780,76,5040,0,0,2
189,3780,70,6720,0,0,2
174,5040,84,6720,0,0,2
174,3780,84,5460,0,0,2
220,4200,70,5460,0,0,2
106,3480,34,3480,0,0,1
92,2610,41,3770,0,0,1
85,2610,37,3480,0,0,1
106,2610,41,3770,0,0,1
92,2900,41,3480,0,0,1
85,2900,41,3480,0,0,1
85,3480,37,3770,0,0,1
85,2900,34,3770,0,0,1
92,3480,41,4640,0,0,1
189,3480,104,3480,0,0,1
148,2610,107,3480,0,0,1
189,2610,111,3770,0,0,1
162,2610,111,3770,0,0,1
162,2900,111,3480,0,0,1
148,2900,111,3480,0,0,1
148,3480,107,3770,0,0,1
148,2900,104,3770,0,0,1
162,3480,111,4640,0,0,1
189,3480,76,3770,0,0,1
174,3480,70,3480,0,0,2
220,3480,84,4640,0,0,1
174,2900,76,4640,0,0,1
220,2610,76,3480,0,0,1
189,2610,70,4640,0,0,1
174,3480,84,4640,0,0,1
174,2610,84,3770,0,0,1
220,2900,70,3770,0,0,1
172,3480,59,3770,0,0,2
157,3480,53,3480,0,0,2
203,3480,67,4640,0,0,1
157,2900,59,4640,0,0,1
203,2610,59,3480,0,0,1
172,2610,53,4640,0,0,1
157,3480,67,4640,0,0,1
157,2610,67,3770,0,0,1
203,2900,53,3770,0,0,1
108,2900,70,3480,80,36,1
108,2610,66,4640,104,45,1
108,2900,68,4640,104,58,1
84,2610,66,4640,64,58,1
92,2900,66,3770,104,36,1
92,3480,66,3480,64,36,1
92,2610,68,3480,64,45,1
92,2900,68,4640,80,45,1
108,3480,68,3770,64,58,1
61,3480,37,3770,0,0,2
68,3480,39,4640,0,0,1
58,3480,35,3480,0,0,1
58,2900,37,4640,0,0,1
68,2610,37,3480,0,0,1
58,3480,39,4640,0,0,1
61,2610,35,4640,0,0,1
68,2900,35,3770,0,0,1
58,2610,39,3770,0,0,1
112,3480,88,3770,182,400,3
128,3480,90,4640,182,320,1
104,3480,86,3480,182,520,2
104,2900,88,4640,112,320,1
128,2610,88,3480,140,520,2
104,3480,90,4640,112,400,1
112,2610,86,4640,140,320,2
128,2900,86,3770,112,400,1
104,2610,90,3770,140,400,1
65,3480,32,3480,40,60,2
65,2610,36,3770,32,48,2
55,2610,34,3480,52,48,2
58,2610,36,3770,52,78,2
58,2900,36,3480,32,78,1
55,2900,36,3480,52,60,1
55,3480,34,3770,40,48,1
58,3480,36,4640,40,78,1
55,2900,32,3770,40,78,1
169,196,119,196,90,50,3
169,147,123,212,72,40,3
133,147,121,196,117,40,3
145,147,123,212,117,65,3
145,163,123,196,72,65,3
133,196,121,212,90,40,3
133,163,123,196,117,50,3
145,196,123,261,90,65,3
133,163,119,212,90,65,3
111,1429,48,1715,70,32,1
111,1429,44,2286,91,52,1
111,1286,41,2286,91,40,1
